Timestamp,Cycle,Symbol,Price,RSI,Stochastic,MACD_Signal,ADX,Trend,Volume_Ratio,Volatility,Setup_Score,Model_Name,Model_Signal,Model_Response_Time_ms,Consensus_Signal,Agreement_Level,Confidence_Score,Stop_Loss,Take_Profit,Risk_Reward_Ratio
2025-10-19 18:07:02,1,BTCUSDT,108346.47,52.9,4.17,BEARISH - Downward Pressure,77.17,NEUTRAL/BULLISH/BULLISH,0.5,LOW,1,Qwen3-32B,HOLD,913.7554168701172,HOLD,100.0,73.0,106179.54,112680.33,2.0
2025-10-19 18:07:02,1,BTCUSDT,108346.47,52.9,4.17,BEARISH - Downward Pressure,77.17,NEUTRAL/BULLISH/BULLISH,0.5,LOW,1,Llama-4-Maverick-17B,HOLD,625.4043579101562,HOLD,100.0,73.0,106179.54,112680.33,2.0
2025-10-19 18:07:02,1,BTCUSDT,108346.47,52.9,4.17,BEARISH - Downward Pressure,77.17,NEUTRAL/BULLISH/BULLISH,0.5,LOW,1,GPT-OSS-120B,HOLD,946.3660717010498,HOLD,100.0,73.0,106179.54,112680.33,2.0
2025-10-19 18:07:02,1,BTCUSDT,108346.47,52.9,4.17,BEARISH - Downward Pressure,77.17,NEUTRAL/BULLISH/BULLISH,0.5,LOW,1,Kimi-K2,HOLD,660.2647304534912,HOLD,100.0,73.0,106179.54,112680.33,2.0
2025-10-19 18:12:06,2,BTCUSDT,108387.51,54.74,18.68,BEARISH - Downward Pressure,76.34,NEUTRAL/BULLISH/BULLISH,0.87,LOW,1,Qwen3-32B,HOLD,574.6574401855469,HOLD,100.0,73.0,106219.76,112723.01,2.0
2025-10-19 18:12:06,2,BTCUSDT,108387.51,54.74,18.68,BEARISH - Downward Pressure,76.34,NEUTRAL/BULLISH/BULLISH,0.87,LOW,1,Llama-4-Maverick-17B,HOLD,520.6143856048584,HOLD,100.0,73.0,106219.76,112723.01,2.0
2025-10-19 18:12:06,2,BTCUSDT,108387.51,54.74,18.68,BEARISH - Downward Pressure,76.34,NEUTRAL/BULLISH/BULLISH,0.87,LOW,1,GPT-OSS-120B,HOLD,1406.1548709869385,HOLD,100.0,73.0,106219.76,112723.01,2.0
2025-10-19 18:12:06,2,BTCUSDT,108387.51,54.74,18.68,BEARISH - Downward Pressure,76.34,NEUTRAL/BULLISH/BULLISH,0.87,LOW,1,Kimi-K2,HOLD,525.3336429595947,HOLD,100.0,73.0,106219.76,112723.01,2.0
2025-10-19 18:13:17,1,BTCUSDT,108330.02,52.07,4.82,BEARISH - Downward Pressure,76.34,NEUTRAL/BEARISH/BULLISH,1.16,LOW,1,Qwen3-32B,HOLD,694.9408054351807,HOLD,100.0,73.0,106163.42,112663.22,2.0
2025-10-19 18:13:17,1,BTCUSDT,108330.02,52.07,4.82,BEARISH - Downward Pressure,76.34,NEUTRAL/BEARISH/BULLISH,1.16,LOW,1,Llama-4-Maverick-17B,HOLD,543.4236526489258,HOLD,100.0,73.0,106163.42,112663.22,2.0
2025-10-19 18:13:17,1,BTCUSDT,108330.02,52.07,4.82,BEARISH - Downward Pressure,76.34,NEUTRAL/BEARISH/BULLISH,1.16,LOW,1,GPT-OSS-120B,HOLD,903.3589363098145,HOLD,100.0,73.0,106163.42,112663.22,2.0
2025-10-19 18:13:17,1,BTCUSDT,108330.02,52.07,4.82,BEARISH - Downward Pressure,76.34,NEUTRAL/BEARISH/BULLISH,1.16,LOW,1,Kimi-K2,HOLD,450.7582187652588,HOLD,100.0,73.0,106163.42,112663.22,2.0
2025-10-19 18:18:20,2,BTCUSDT,108290.0,49.86,0.0,BEARISH - Downward Pressure,75.58,NEUTRAL/BEARISH/BULLISH,0.78,LOW,1,Qwen3-32B,HOLD,648.0836868286133,HOLD,100.0,73.0,106124.2,112621.6,2.0
2025-10-19 18:18:20,2,BTCUSDT,108290.0,49.86,0.0,BEARISH - Downward Pressure,75.58,NEUTRAL/BEARISH/BULLISH,0.78,LOW,1,Llama-4-Maverick-17B,HOLD,496.36101722717285,HOLD,100.0,73.0,106124.2,112621.6,2.0
2025-10-19 18:18:20,2,BTCUSDT,108290.0,49.86,0.0,BEARISH - Downward Pressure,75.58,NEUTRAL/BEARISH/BULLISH,0.78,LOW,1,GPT-OSS-120B,HOLD,601.3157367706299,HOLD,100.0,73.0,106124.2,112621.6,2.0
2025-10-19 18:18:20,2,BTCUSDT,108290.0,49.86,0.0,BEARISH - Downward Pressure,75.58,NEUTRAL/BEARISH/BULLISH,0.78,LOW,1,Kimi-K2,HOLD,419.0552234649658,HOLD,100.0,73.0,106124.2,112621.6,2.0
