Timestamp,Cycle,Symbol,Price,RSI,MACD_Signal,Trend,Model_Name,Model_Signal,Model_Response_Time_ms,Consensus_Signal,Agreement_Level
2025-10-13 14:03:26,1,BTCUSDT,114003.98,36.31,BEARISH,BEARISH/BEARISH,Llama-3.3-70B,SELL,0,SELL,75.0
2025-10-13 14:03:26,1,BTCUSDT,114003.98,36.31,BEARISH,BEARISH/BEARISH,Llama-3.1-8B,SELL,0,SELL,75.0
2025-10-13 14:03:26,1,BTCUSDT,114003.98,36.31,BEARISH,BEARISH/BEARISH,Llama-4-Scout-17B,SELL,0,SELL,75.0
2025-10-13 14:03:26,1,BTCUSDT,114003.98,36.31,BEARISH,BEARISH/BEARISH,Qwen3-32B,HOLD,0,SELL,75.0
2025-10-13 14:08:28,2,BTCUSDT,114165.37,41.59,BEARISH,BEARISH/BEARISH,Llama-3.3-70B,SELL,0,SELL,75.0
2025-10-13 14:08:28,2,BTCUSDT,114165.37,41.59,BEARISH,BEARISH/BEARISH,Llama-3.1-8B,SELL,0,SELL,75.0
2025-10-13 14:08:28,2,BTCUSDT,114165.37,41.59,BEARISH,BEARISH/BEARISH,Llama-4-Scout-17B,SELL,0,SELL,75.0
2025-10-13 14:08:28,2,BTCUSDT,114165.37,41.59,BEARISH,BEARISH/BEARISH,Qwen3-32B,HOLD,0,SELL,75.0
2025-10-13 14:13:30,3,BTCUSDT,114385.1,47.71,BULLISH,NEUTRAL/BEARISH,Llama-3.3-70B,HOLD,0,HOLD,100.0
2025-10-13 14:13:30,3,BTCUSDT,114385.1,47.71,BULLISH,NEUTRAL/BEARISH,Llama-3.1-8B,HOLD,0,HOLD,100.0
2025-10-13 14:13:30,3,BTCUSDT,114385.1,47.71,BULLISH,NEUTRAL/BEARISH,Llama-4-Scout-17B,HOLD,0,HOLD,100.0
2025-10-13 14:13:30,3,BTCUSDT,114385.1,47.71,BULLISH,NEUTRAL/BEARISH,Qwen3-32B,HOLD,0,HOLD,100.0
2025-10-13 14:18:37,4,BTCUSDT,114297.06,45.62,BULLISH,NEUTRAL/BEARISH,Llama-3.3-70B,HOLD,0,HOLD,100.0
2025-10-13 14:18:37,4,BTCUSDT,114297.06,45.62,BULLISH,NEUTRAL/BEARISH,Llama-3.1-8B,HOLD,0,HOLD,100.0
2025-10-13 14:18:37,4,BTCUSDT,114297.06,45.62,BULLISH,NEUTRAL/BEARISH,Llama-4-Scout-17B,HOLD,0,HOLD,100.0
2025-10-13 14:18:37,4,BTCUSDT,114297.06,45.62,BULLISH,NEUTRAL/BEARISH,Qwen3-32B,HOLD,0,HOLD,100.0
2025-10-13 14:23:39,5,BTCUSDT,114302.39,45.81,BULLISH,NEUTRAL/BEARISH,Llama-3.3-70B,HOLD,0,HOLD,100.0
2025-10-13 14:23:39,5,BTCUSDT,114302.39,45.81,BULLISH,NEUTRAL/BEARISH,Llama-3.1-8B,HOLD,0,HOLD,100.0
2025-10-13 14:23:39,5,BTCUSDT,114302.39,45.81,BULLISH,NEUTRAL/BEARISH,Llama-4-Scout-17B,HOLD,0,HOLD,100.0
2025-10-13 14:23:39,5,BTCUSDT,114302.39,45.81,BULLISH,NEUTRAL/BEARISH,Qwen3-32B,HOLD,0,HOLD,100.0
2025-10-13 14:28:42,6,BTCUSDT,114203.59,43.38,BULLISH,BEARISH/BEARISH,Llama-3.3-70B,HOLD,0,HOLD,100.0
2025-10-13 14:28:42,6,BTCUSDT,114203.59,43.38,BULLISH,BEARISH/BEARISH,Llama-3.1-8B,HOLD,0,HOLD,100.0
2025-10-13 14:28:42,6,BTCUSDT,114203.59,43.38,BULLISH,BEARISH/BEARISH,Llama-4-Scout-17B,HOLD,0,HOLD,100.0
2025-10-13 14:28:42,6,BTCUSDT,114203.59,43.38,BULLISH,BEARISH/BEARISH,Qwen3-32B,HOLD,0,HOLD,100.0
2025-10-13 14:33:44,7,BTCUSDT,114568.4,53.37,BULLISH,NEUTRAL/BULLISH,Llama-3.3-70B,HOLD,0,HOLD,100.0
2025-10-13 14:33:44,7,BTCUSDT,114568.4,53.37,BULLISH,NEUTRAL/BULLISH,Llama-3.1-8B,HOLD,0,HOLD,100.0
2025-10-13 14:33:44,7,BTCUSDT,114568.4,53.37,BULLISH,NEUTRAL/BULLISH,Llama-4-Scout-17B,HOLD,0,HOLD,100.0
2025-10-13 14:33:44,7,BTCUSDT,114568.4,53.37,BULLISH,NEUTRAL/BULLISH,Qwen3-32B,HOLD,0,HOLD,100.0
2025-10-13 14:38:46,8,BTCUSDT,114483.46,50.71,BULLISH,NEUTRAL/BULLISH,Llama-3.3-70B,HOLD,0,HOLD,75.0
2025-10-13 14:38:46,8,BTCUSDT,114483.46,50.71,BULLISH,NEUTRAL/BULLISH,Llama-3.1-8B,BUY,0,HOLD,75.0
2025-10-13 14:38:46,8,BTCUSDT,114483.46,50.71,BULLISH,NEUTRAL/BULLISH,Llama-4-Scout-17B,HOLD,0,HOLD,75.0
2025-10-13 14:38:46,8,BTCUSDT,114483.46,50.71,BULLISH,NEUTRAL/BULLISH,Qwen3-32B,HOLD,0,HOLD,75.0
2025-10-13 14:43:49,9,BTCUSDT,114626.19,54.13,BULLISH,NEUTRAL/BULLISH,Llama-3.3-70B,HOLD,0,HOLD,100.0
2025-10-13 14:43:49,9,BTCUSDT,114626.19,54.13,BULLISH,NEUTRAL/BULLISH,Llama-3.1-8B,HOLD,0,HOLD,100.0
2025-10-13 14:43:49,9,BTCUSDT,114626.19,54.13,BULLISH,NEUTRAL/BULLISH,Llama-4-Scout-17B,HOLD,0,HOLD,100.0
2025-10-13 14:43:49,9,BTCUSDT,114626.19,54.13,BULLISH,NEUTRAL/BULLISH,Qwen3-32B,HOLD,0,HOLD,100.0
2025-10-13 14:48:51,10,BTCUSDT,114655.87,55.08,BULLISH,BULLISH/BULLISH,Llama-3.3-70B,BUY,0,BUY,75.0
2025-10-13 14:48:51,10,BTCUSDT,114655.87,55.08,BULLISH,BULLISH/BULLISH,Llama-3.1-8B,BUY,0,BUY,75.0
2025-10-13 14:48:51,10,BTCUSDT,114655.87,55.08,BULLISH,BULLISH/BULLISH,Llama-4-Scout-17B,BUY,0,BUY,75.0
2025-10-13 14:48:51,10,BTCUSDT,114655.87,55.08,BULLISH,BULLISH/BULLISH,Qwen3-32B,HOLD,0,BUY,75.0
2025-10-13 14:53:53,11,BTCUSDT,114450.09,49.65,BULLISH,BULLISH/BULLISH,Llama-3.3-70B,HOLD,0,HOLD,75.0
2025-10-13 14:53:53,11,BTCUSDT,114450.09,49.65,BULLISH,BULLISH/BULLISH,Llama-3.1-8B,BUY,0,HOLD,75.0
2025-10-13 14:53:53,11,BTCUSDT,114450.09,49.65,BULLISH,BULLISH/BULLISH,Llama-4-Scout-17B,HOLD,0,HOLD,75.0
2025-10-13 14:53:53,11,BTCUSDT,114450.09,49.65,BULLISH,BULLISH/BULLISH,Qwen3-32B,HOLD,0,HOLD,75.0
2025-10-13 14:58:55,12,BTCUSDT,114354.31,47.2,BULLISH,BEARISH/BEARISH,Llama-3.3-70B,HOLD,0,HOLD,100.0
2025-10-13 14:58:55,12,BTCUSDT,114354.31,47.2,BULLISH,BEARISH/BEARISH,Llama-3.1-8B,HOLD,0,HOLD,100.0
2025-10-13 14:58:55,12,BTCUSDT,114354.31,47.2,BULLISH,BEARISH/BEARISH,Llama-4-Scout-17B,HOLD,0,HOLD,100.0
2025-10-13 14:58:55,12,BTCUSDT,114354.31,47.2,BULLISH,BEARISH/BEARISH,Qwen3-32B,HOLD,0,HOLD,100.0
2025-10-13 15:03:57,13,BTCUSDT,114482.24,50.72,BULLISH,BULLISH/BULLISH,Llama-3.3-70B,BUY,0,BUY,75.0
2025-10-13 15:03:57,13,BTCUSDT,114482.24,50.72,BULLISH,BULLISH/BULLISH,Llama-3.1-8B,BUY,0,BUY,75.0
2025-10-13 15:03:57,13,BTCUSDT,114482.24,50.72,BULLISH,BULLISH/BULLISH,Llama-4-Scout-17B,BUY,0,BUY,75.0
2025-10-13 15:03:57,13,BTCUSDT,114482.24,50.72,BULLISH,BULLISH/BULLISH,Qwen3-32B,HOLD,0,BUY,75.0
2025-10-13 15:08:59,14,BTCUSDT,114447.46,49.8,BULLISH,BULLISH/BULLISH,Llama-3.3-70B,BUY,0,BUY,50.0
2025-10-13 15:08:59,14,BTCUSDT,114447.46,49.8,BULLISH,BULLISH/BULLISH,Llama-3.1-8B,BUY,0,BUY,50.0
